Address,RBN Balance,Time Left (in seconds),Penalty Ratio,Penalty Rebate,Unlock Reward Before,Unlock Reward After
0x25125E438b7Ae0f9AE8511D83aBB0F4574217C7a,14000.000000 RBN,32508000,0.515411,3607.876712 RBN,6784.246575 RBN,10392.123288 RBN
0x920Eb8ca79F07Eb3bFc39c324c8113948ed3104C,4387.138141 RBN,44604000,0.707192,1551.274017 RBN,1284.590106 RBN,2835.864124 RBN
0x46566dA2acbAD455Fb91912483f584B6F35C42Ea,1103.337599 RBN,32508000,0.515411,284.336145 RBN,534.665309 RBN,819.001454 RBN
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,46044.880215 RBN,59724000,0.750000,17266.830081 RBN,11511.220054 RBN,28778.050134 RBN
0x8437A6D1BfEcd8710405169fa03194B3D1248F43,3205.959435 RBN,32508000,0.515411,826.193313 RBN,1553.572808 RBN,2379.766122 RBN
0x9679139108B491dC26fe90f4FaA2ca656e6f8b69,1207.000000 RBN,32508000,0.515411,311.050514 RBN,584.898973 RBN,895.949486 RBN
0xe15ACdBcF0ad8119576178f1f6C2dCb261c2024c,2996.814810 RBN,11340000,0.179795,269.405441 RBN,2458.003928 RBN,2727.409369 RBN
0x93212F3F255F07450E2F3177cA0F24BdeE54234d,1965.988771 RBN,32508000,0.515411,506.646079 RBN,952.696613 RBN,1459.342692 RBN
0x81Ba93B26bCe8cA5d649B6607DF15E6D45462D8F,189.490000 RBN,32508000,0.515411,48.832611 RBN,91.824777 RBN,140.657389 RBN
0xC9d13Bdcf27B24569d02D28411a9F20852fA8A0a,200.415060 RBN,62748000,0.750000,75.155647 RBN,50.103765 RBN,125.259412 RBN
0x364F7Fd945B8c76C3C77d6ac253f1fEa3B65E00d,2750.754194 RBN,60933600,0.750000,1031.532823 RBN,687.688548 RBN,1719.221371 RBN
0x0C5a2C72C009252f0E7312f5a1Ab87de02be6FBE,1.000000 RBN,32508000,0.515411,0.257705 RBN,0.484589 RBN,0.742295 RBN
0x35e057137060Cd397bd82e3dfF54BEba480e7012,20006.991980 RBN,453600,0.007192,71.942951 RBN,19863.106079 RBN,19935.049030 RBN
0xb0B57738f1A0752d860Aa39C07955BC960284aa8,13250.092510 RBN,32508000,0.515411,3414.621443 RBN,6420.849624 RBN,9835.471067 RBN
0xDF93B5ec8Eb9407F03fF14a2E2B3eE4196fcD8b0,3239.361834 RBN,16178400,0.256507,415.459249 RBN,2408.443336 RBN,2823.902585 RBN
0x77B691DeC38da63B60b4adB4c153A17C18e29Ce7,2300.042429 RBN,32508000,0.515411,592.733537 RBN,1114.575355 RBN,1707.308892 RBN
0x6bCdea080E39728a09B2ed69399e0253B0761b7a,79.601990 RBN,1058400,0.016781,0.667893 RBN,78.266203 RBN,78.934097 RBN
0xc219CafDE6855f60dA76d9cacC3873fda65516E6,18150.756452 RBN,34927200,0.553767,5025.646093 RBN,8099.464266 RBN,13125.110359 RBN
0x7B82DdcAC8d0b137A09590838057c0a9d5BaE3C3,28.500000 RBN,1058400,0.016781,0.239127 RBN,28.021747 RBN,28.260873 RBN
0x03fB1fd0FEC2fB4D979b2E30a4AdFaF868f85f0F,4921.558284 RBN,43999200,0.697603,1716.646271 RBN,1488.265741 RBN,3204.912013 RBN
0x47Ed49b4EAdcE83993B005Fd4456CDF66404d58d,70487.153730 RBN,13154400,0.208562,7350.458326 RBN,55786.237079 RBN,63136.695405 RBN
0xD925e71b56A84f8763895A6939320a2465D2618f,1014.704869 RBN,32508000,0.515411,261.495005 RBN,491.714859 RBN,753.209864 RBN
0x0fa7744874bFedFC3D67AB57253d840be685FDC2,4239.853319 RBN,48232800,0.750000,1589.944995 RBN,1059.963330 RBN,2649.908325 RBN
0x02eF8147E2D0997cCA48d99f01bAD846D16558fa,15127.786700 RBN,32508000,0.515411,3898.513525 RBN,7330.759651 RBN,11229.273175 RBN
0x81324A39570Bba1722A3CbE4A4CD372C24d084d4,4683.623244 RBN,32508000,0.515411,1206.995374 RBN,2269.632497 RBN,3476.627870 RBN
0x8F688a91695F7D2a1E93e57cedcbf5c5202f617b,47552.730548 RBN,32508000,0.515411,12254.599225 RBN,23043.532098 RBN,35298.131323 RBN
0x65B4f70084d86590c52d93Cc9080e4F4d92EA61A,4166.202082 RBN,32508000,0.515411,1073.653105 RBN,2018.895872 RBN,3092.548977 RBN
0x5aBd0ffEA71DA700905C359cE0D0408Fa78D120A,9225.017900 RBN,32508000,0.515411,2377.337661 RBN,4470.342578 RBN,6847.680239 RBN
0x85F15c9B2bFA79805205eD1df3570Ad0875A24b2,5624.978030 RBN,1058400,0.016781,47.195877 RBN,5530.586275 RBN,5577.782152 RBN
